,zipcode,city,state,median_listing_price
1878,07302, Jersey City ,NJ ,599000
1879,08053, MARLTON ,NJ ,289900
1880,08753, Toms River ,NJ ,199000
1881,08846, MIDDLESEX ,NJ ,310000
1882,07760, Rumson ,NJ ,9500000
1883,07043, Montclair ,NJ ,759000
1884,08332, MILLVILLE ,NJ ,34900
1885,08867, PITTSTOWN ,NJ ,330000
1886,07716, Atlantic Highlands ,NJ ,250000
1887,07030, HOBOKEN ,NJ ,750000
1888,08034, Cherry Hill ,NJ ,379900
1889,07016, Cranford ,NJ ,619800
1890,08753, TOMS RIVER ,NJ ,312000
1891,08807, BRIDGEWATER ,NJ ,315000
1892,08723, BRICK ,NJ ,325000
1893,08816, East Brunswick ,NJ ,469000
1894,07052, West Orange ,NJ ,265000
1895,07045, Montville ,NJ ,425000
1896,07652, Paramus Boro ,NJ ,296500
1897,07005, BOONTON ,NJ ,480000
1898,08901, NEW BRUNSWICK ,NJ ,175000
1899,07024, Fort Lee ,NJ ,118000
1900,38464, Lawrenceburg ,TN ,210000
1901,38120, MEMPHIS ,TN ,375000
1902,37604, Johnson City ,TN ,54500
1903,38305, Jackson ,TN ,203000
1904,37934, KNOXVILLE ,TN ,250000
1905,38104, MEMPHIS ,TN ,259900
1906,37917, KNOXVILLE ,TN ,119000
1907,37064, Franklin ,TN ,10000000
1908,37208, Nashville ,TN ,319900
1909,37409, CHATTANOOGA ,TN ,314700
1910,37215, NASHVILLE ,TN ,615000
1911,38138, GERMANTOWN ,TN ,364900
1912,37040, CLARKSVILLE ,TN ,114500
1913,37138, Old Hickory ,TN ,249800
1914,37046, College Grove ,TN ,9449900
1915,37912, KNOXVILLE ,TN ,140000
1916,37343, Hixson ,TN ,167500
1917,37876, Pigeon Forge ,TN ,135900
1918,37801, Maryville ,TN ,114900
1919,37343, HIXSON ,TN ,169500
1920,37208, Nashville ,TN ,289900
1921,37920, KNOXVILLE ,TN ,155000
1922,38104, MEMPHIS ,TN ,575000
1923,37772, Lenoir City ,TN ,175000
1924,37215, NASHVILLE ,TN ,839900
1925,95662, Orangevale ,CA ,200000
1926,90210, BEVERLY HILLS ,CA ,21999000
1927,92705, Santa Ana ,CA ,204900
1928,90272, Pacific Palisades ,CA ,7675000
1929,94103, SAN FRANCISCO ,CA ,287274
1930,92672, SAN CLEMENTE ,CA ,44000000
1931,90042, LOS ANGELES ,CA ,649900
1932,91364, WOODLAND HILLS ,CA ,3499000
1933,94124, SAN FRANCISCO ,CA ,749000
1934,92675, SAN JUAN CAPISTRANO ,CA ,599000
1935,92037, LA JOLLA ,CA ,18900000
1936,92503, Riverside ,CA ,298000
1937,95815, SACRAMENTO ,CA ,195000
1938,90210, BEVERLY HILLS ,CA ,35000000
1939,90265, MALIBU ,CA ,48500000
1940,92128, SAN DIEGO ,CA ,499000
1941,90077, Los Angeles ,CA ,150000000
1942,90046, LOS ANGELES ,CA ,8495000
1943,91302, CALABASAS ,CA ,11900000
1944,92651, Laguna Beach ,CA ,29000000
1945,95404, Santa Rosa ,CA ,799000
1946,94583, SAN RAMON ,CA ,675000
1947,90077, LOS ANGELES ,CA ,34000000
1948,92591, TEMECULA ,CA ,519000
1949,91701, RANCHO CUCAMONGA ,CA ,449000
1950,84106, South Salt Lake ,UT ,309000
1951,84111, Salt Lake City ,UT ,285000
1952,84060, Park City ,UT ,9998000
1953,84102, Salt Lake City ,UT ,223399
1954,84040, LAYTON ,UT ,589900
1955,84103, SALT LAKE CITY ,UT ,2100000
1956,84106, SALT LAKE CITY ,UT ,359900
1957,84096, Herriman ,UT ,240000
1958,84045, Saratoga Springs ,UT ,519000
1959,84097, Orem ,UT ,625000
1960,84720, Cedar City ,UT ,772765
1961,84067, Roy ,UT ,239900
1962,84790, St George ,UT ,537750
1963,84070, Sandy ,UT ,349000
1964,84108, SALT LAKE CITY ,UT ,799500
1965,84651, Payson ,UT ,265000
1966,84770, St George ,UT ,289900
1967,84104, SALT LAKE CITY ,UT ,260000
1968,84770, St George ,UT ,239900
1969,84047, MIDVALE ,UT ,359900
1970,84121, Cottonwood Heights ,UT ,749900
1971,84606, Provo ,UT ,310000
1972,84124, Holladay ,UT ,329990
1973,84084, WEST JORDAN ,UT ,339900
1974,84081, West Jordan ,UT ,275000
1975,75034, FRISCO ,TX ,484000
1976,78728, Austin ,TX ,285990
1977,76119, Fort Worth ,TX ,179900
1978,75006, Carrollton ,TX ,83000
1979,75224, DALLAS ,TX ,249900
1980,76036, Crowley ,TX ,169900
1981,75210, DALLAS ,TX ,110000
1982,76123, Fort Worth ,TX ,288500
1983,78717, AUSTIN ,TX ,499000
1984,75165, WAXAHACHIE ,TX ,199900
1985,75203, Dallas ,TX ,179900
1986,78732, AUSTIN ,TX ,550000
1987,75212, DALLAS ,TX ,295000
1988,78252, San Antonio ,TX ,217000
1989,75060, Irving ,TX ,240000
1990,76115, Fort Worth ,TX ,66000
1991,78239, SAN ANTONIO ,TX ,200000
1992,75227, DALLAS ,TX ,125000
1993,79938, EL PASO ,TX ,179000
1994,77040, HOUSTON ,TX ,215000
1995,75228, Dallas ,TX ,199900
1996,77070, HOUSTON ,TX ,129900
1997,76522, Copperas Cove t ,TX ,139900
1998,75081, Richardson ,TX ,324900
